round,district,selected,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
2,Vironniemi,False,0.0024248196,0.002425095,0.5588397,0.0024260539,0.0024265032,0.42903203,0.0024258397
1,Kallio,False,0.028598322,0.028646052,0.028592035,0.2287427,0.6281117,0.028592626,0.028716503
2,Vallila,True,0.5084701,0.00247608,0.4791534,0.0024793535,0.0024723674,0.0024725664,0.0024761017
1,Pitäjänmäki,True,0.0031825313,0.05915173,0.0031963012,0.07035745,0.30480462,0.5561232,0.0031841805
2,Vuosaari,False,0.44699278,0.017869206,0.017902516,0.018024415,0.01792587,0.01796595,0.46331924
1,,False,0.013014733,0.013013967,0.013017766,0.5295467,0.013059514,0.405311,0.013036396
2,Vironniemi,False,0.0102365455,0.010227053,0.45452872,0.010208827,0.0102262795,0.49434873,0.01022385
1,,False,0.0036823482,0.0036783293,0.7444372,0.18497883,0.00367877,0.055872127,0.0036723549
2,Vallila,False,0.003987411,0.0039893603,0.003983655,0.003988939,0.97608995,0.0039818273,0.0039787986
1,Pasila,False,0.20732197,0.023885632,0.24933322,0.023826832,0.023835683,0.44786873,0.023927927
2,,False,0.011040252,0.011008083,0.011023776,0.011004698,0.3579298,0.25483486,0.34315854
1,,False,0.072557636,0.00597476,0.16555987,0.29336056,0.0059731845,0.23455541,0.2220186
1,,False,0.0040953797,0.0040936787,0.49813193,0.00410169,0.0040972647,0.48139027,0.004089756
2,Vironniemi,False,0.014297449,0.014300468,0.014336358,0.014354837,0.014307556,0.014363691,0.9140396
1,Reijola,False,0.0025578414,0.0025561263,0.0025568814,0.002555684,0.0025589843,0.9846553,0.0025591815
2,Tuomarinkylä,False,0.01430036,0.014303239,0.01432948,0.01430015,0.9141089,0.014302952,0.014354994
1,Reijola,False,0.002602864,0.0026109205,0.5219672,0.0025998792,0.002603992,0.28964552,0.17796963
2,,False,0.0025120878,0.0025179915,0.7262388,0.002512497,0.03743021,0.22627592,0.0025125663
1,Kampinmalmi,True,0.0038772721,0.0038736614,0.31236437,0.22361018,0.0038836175,0.0038773983,0.4485135
2,Vironniemi,True,0.006504929,0.0065111066,0.006542755,0.006503083,0.00651617,0.96091884,0.0065031
1,Vanhakaupunki,False,0.0023572592,0.0023463012,0.0023517981,0.0023468905,0.002355766,0.9315778,0.056664173
2,Lauttasaari,False,0.013038902,0.2012137,0.5055191,0.013035013,0.24112718,0.013025904,0.013040239
1,Latokartano,False,0.003500276,0.003500535,0.08212131,0.0034915963,0.90038484,0.0035032572,0.0034982017
2,Herttoniemi,False,0.5388087,0.01194264,0.40147248,0.0119243795,0.011948057,0.011946678,0.011957056
1,Kampinmalmi,False,0.003185742,0.0031894688,0.17090344,0.0031872068,0.72045803,0.0031891507,0.095886946
2,Kaarela,False,0.0023517644,0.48782298,0.50041384,0.002355348,0.002352648,0.0023499194,0.002353509
