Area,Year,Demographic Diversity Index,Economic Prosperity Index,Socioeconomic Dependency Index,Public Service Accessibility Index
Alppiharju,2018,0.4433914753287522,0.43054508508062783,0.015476769093517305,0.4359378892302583
Alppiharju,2019,0.4454900702407139,0.4333574360708423,0.019748309856061505,0.43601029814799436
Alppiharju,2020,0.44849051497111303,0.3658957327835528,0.019994900597339233,0.43969849246231163
Alppiharju,2021,0.4511041308982381,0.40578567171415403,0.0044015453483401005,0.45052776109156434
Alppiharju,2022,0.4515304158981367,0.4065075054129361,0.008080603827940763,0.45297670405522006
Alppiharju,2023,0.4523513507304824,0.3995351841736612,0.003398143429330136,0.4536812996889042
Haaga,2018,0.4936470158078312,0.46423030415750544,0.2681362750825445,0.742948741039588
Haaga,2019,0.496501805604911,0.4853285592882424,0.2745275188176652,0.7461741615715785
Haaga,2020,0.49838709611891563,0.4346092497252768,0.2768850361629242,0.7442087031825071
Haaga,2021,0.499648448303283,0.46167543959597024,0.27703689361135714,0.7469578444154716
Haaga,2022,0.5033283968385459,0.4650078570478856,0.26709324336175594,0.7593608482751002
Haaga,2023,0.5056742515015983,0.46093180768619607,0.2748360040018079,0.7509010812975571
Herttoniemi,2018,0.46818003955532395,0.4242240175499783,0.3698152210892668,0.7705627705627706
Herttoniemi,2019,0.4701143084515658,0.4363724604318007,0.37625533978527126,0.7455684750192675
Herttoniemi,2020,0.4720269003241502,0.38870075275847127,0.3723953871574325,0.7350269234580952
Herttoniemi,2021,0.4734523303430054,0.42575758320089835,0.3695514401499611,0.728958490318776
Herttoniemi,2022,0.4774963304708761,0.42759030153493804,0.3656131910188544,0.7295081967213114
Herttoniemi,2023,0.47871836023510567,0.42257337309518145,0.36886444889055003,0.7197153485363091
Itä-Pakila,2018,0.4639170892825379,0.6473374202589594,0.18906587656122292,0.7491146826477799
Itä-Pakila,2019,0.47193212588126493,0.6561761246376585,0.19172427279288035,0.7478923035082949
Itä-Pakila,2020,0.4756440515930317,0.6409873648102449,0.1870521728309318,0.7540444200712915
Itä-Pakila,2021,0.47656743252694206,0.668682251984123,0.18657896912252078,0.7528059129482616
Itä-Pakila,2022,0.48275212626688263,0.6628837725127478,0.20669425147791415,0.7474857298178852
Itä-Pakila,2023,0.481507229088383,0.6652784813278962,0.2068384342381081,0.7573671164968327
Jakomäki,2018,0.4750104829408478,0.2758896517321311,0.6075312906777006,0.9586892103887048
Jakomäki,2019,0.4818324566240787,0.27091230921147674,0.6106306792614601,0.9777777777777776
Jakomäki,2020,0.48508076887836676,0.20458493077528786,0.6170940280912273,0.9791703756453622
Jakomäki,2021,0.4921435850823791,0.23191038627528962,0.6345650699481611,1.0064043915827998
Jakomäki,2022,0.4923661194851445,0.25095752648876196,0.6446731208344154,1.0414694186707063
