topic,coherence,perplexity
2,0.4611728382227568,-7.491229296233516
2,0.4633339906022964,-7.468745125181342
2,0.4523706200486752,-7.471358324893045
2,0.442982905508697,-7.478732720352297
2,0.44579240913724494,-7.491940614026338
2,0.46911101976762626,-7.4736910289120075
2,0.4776777967746321,-7.469987504640616
2,0.4509737554052198,-7.492037585665039
2,0.4396215913007908,-7.4977424018472805
2,0.459081855651258,-7.4695764979932635
3,0.4425129975793018,-7.48934608228068
3,0.4439716686421323,-7.462787196035017
3,0.44264445125564295,-7.485911850392141
3,0.44392133668479133,-7.478348396812945
3,0.44153303485830636,-7.499465988100981
3,0.4573036226789939,-7.492737404273848
3,0.4636824956144143,-7.475661593284574
3,0.45873297113858597,-7.475986627748952
3,0.45275697275298477,-7.475208198296286
3,0.4662558032990541,-7.472289245517545
4,0.4633023273724757,-7.500994952156035
4,0.4372465860053091,-7.522938365307587
4,0.4388417994668572,-7.504520666408961
4,0.4585199130069625,-7.501709105800837
4,0.4552499901881777,-7.4948978588006305
4,0.44929249512618313,-7.48528807478997
4,0.45208720053505397,-7.511997388166262
4,0.4290176469334073,-7.532309170317906
4,0.43954228628499115,-7.503839900516104
4,0.4708892298261703,-7.495893650007529
5,0.4575414463224293,-7.5328650686945995
5,0.4540236542116395,-7.546882657385286
5,0.43519686950065184,-7.527411460963773
5,0.42954370821704835,-7.525251579816144
5,0.42727741726421054,-7.538827717895969
5,0.43627294221879814,-7.535482027369308
5,0.4636961174915767,-7.519352545361512
5,0.47126892207076676,-7.528998424754574
5,0.4398561099088898,-7.529950531471257
5,0.4484646006585349,-7.53408620572536
6,0.4549181598719083,-7.573398953901392
6,0.471494185380864,-7.532612169089695
6,0.43460965135623536,-7.583757790447021
6,0.438091661065183,-7.539081405819348
6,0.45365051891188646,-7.554582568524073
6,0.44880621198165743,-7.549420285562543
6,0.46473126358987615,-7.572583663801117
6,0.4483471450763872,-7.550951499841585
6,0.4394271542496231,-7.552440237915334
6,0.43375375159833324,-7.560107233894783
7,0.4429221783540594,-7.558234091814693
7,0.44192599912584407,-7.582646411729189
7,0.4508297143143761,-7.57305651832213
7,0.4526569661205361,-7.597789381997685
7,0.47431790407018753,-7.576980310094966
7,0.45663978766410596,-7.594844674455833
7,0.4465197807117236,-7.573562014747453
7,0.4585864619562362,-7.565838324386026
7,0.4643009890887309,-7.593293315652838
7,0.4598745611823804,-7.582075738375053
8,0.4266516623914933,-7.6027689539619985
8,0.43785838476326283,-7.584440885652278
8,0.4276787838516042,-7.598186954048122
8,0.4406391511759019,-7.598517760232116
8,0.44160536302340603,-7.582890334906013
8,0.45703984821892174,-7.57825587809248
8,0.42075605930058846,-7.595861851018732
8,0.45159090759276044,-7.602315222828436
8,0.4406382276743346,-7.599357577811454
8,0.4635534613293003,-7.589162254118624
9,0.44731429131054284,-7.590551411132631
9,0.43340314383500095,-7.604671717377548
9,0.4483238530235795,-7.614608542721672
9,0.42694253965799916,-7.623965734616125
9,0.43825925010010036,-7.607928990779723
9,0.438500625361284,-7.615193047881307
9,0.4038003284223922,-7.5962077694621
9,0.4510183404085695,-7.60022066702552
9,0.40130567960386776,-7.616119194672661
9,0.4511360408633405,-7.628110603137883
10,0.4282870588819673,-7.626165368005061
10,0.41965264743273173,-7.628120870547014
10,0.43219507670305424,-7.623881741587139
10,0.42796836333078153,-7.633404580978796
10,0.4046254008905992,-7.611252825104933
10,0.4470807970549039,-7.631799457414704
10,0.42748411663024755,-7.639425766724124
10,0.42059374217653583,-7.652376323409381
10,0.4206817303816218,-7.615080381728891
10,0.4525723946390463,-7.627030876183428
11,0.3969909478836254,-7.639525205066264
11,0.4293384447477157,-7.62907004281838
11,0.3982415962462849,-7.625654333211447
11,0.45881007328419093,-7.628053735493305
11,0.4355339907968343,-7.634856952024297
11,0.4434000525462386,-7.621126159611955
11,0.424173680364801,-7.641308242292287
11,0.452151383912452,-7.632944039522112
11,0.45918655652021717,-7.632153980347555
11,0.4372632892738108,-7.645509340333649
12,0.4615715587944071,-7.635657032836965
12,0.4164945750685645,-7.6749921298190005
12,0.41392644109346916,-7.674008636462913
12,0.4346230992386413,-7.669535113831589
12,0.4337484782528503,-7.663753667897302
12,0.42885825535988525,-7.658862664678619
12,0.4143818745000174,-7.6692200188166515
12,0.44356462221735504,-7.652849368581025
12,0.42683876067488286,-7.661001944409655
12,0.4480614530977382,-7.642651665609716
13,0.4356234391025508,-7.694529438020369
13,0.4165247390105842,-7.713337790111192
13,0.4549094909289163,-7.684779182829585
13,0.4202154469222463,-7.712996566098325
13,0.42568893348176345,-7.689413299906467
13,0.43311541178350643,-7.699370298820036
13,0.4181704190730798,-7.685555085731158
13,0.4293020069050811,-7.65974361445112
13,0.4337954605885144,-7.686395872549064
13,0.4333785228702936,-7.7002421836717625
14,0.45818752753926467,-7.706732414528907
14,0.4278180422138321,-7.717329387685207
14,0.4178419908655523,-7.702391500581938
14,0.424084595917094,-7.736706951633911
14,0.42480296595978223,-7.7056919608462655
14,0.41966188603039356,-7.711905599878524
14,0.4358974977160039,-7.715631269566334
14,0.44569872293563784,-7.721033105933236
14,0.4111103071317942,-7.729541660613883
14,0.4382314746055181,-7.72663818887254
15,0.40561540306188937,-7.7248713045918045
15,0.4085720307193981,-7.7222858005013215
15,0.41623757097572156,-7.742081805383421
15,0.41043216576572367,-7.706129437583786
15,0.4221458634205131,-7.73810989541654
15,0.40513078093341154,-7.74745202351498
15,0.4019745330248719,-7.731080979232917
15,0.42365446507077287,-7.726739474853086
15,0.4012943967346328,-7.714210578908798
15,0.3958327532383802,-7.743924535694665
16,0.42681784846022797,-7.732086446646429
16,0.4046141964824288,-7.740624030012133
16,0.453538089237837,-7.74205687137864
16,0.41004137908805305,-7.7269471743899905
16,0.42377009870652915,-7.742491220443131
16,0.42176494129242037,-7.744142408903559
16,0.4185200268980409,-7.727451393906799
16,0.416177724699354,-7.7248126689120395
16,0.4096285073185078,-7.736442007169533
16,0.42657142937312154,-7.741229992948408
17,0.408761744043838,-7.767561777141055
17,0.40730211756000984,-7.7527901008648765
17,0.4213615264471866,-7.751650135727185
17,0.40113731282539955,-7.760988655053601
17,0.4212393165401592,-7.752148502750901
17,0.4301511945626486,-7.74656043446045
17,0.4133211261576262,-7.758852361989234
17,0.4219340360075798,-7.760145528839026
17,0.4293711481288675,-7.752820135901053
17,0.44762205598836546,-7.7568711653019955
18,0.3945655552116454,-7.780847993831927
18,0.4062560476475488,-7.767715305387072
18,0.45343598958169157,-7.756991953297574
18,0.414636492478623,-7.7725031835482215
18,0.3876763712687929,-7.758623345340816
18,0.4129100670248286,-7.775507297494703
18,0.43054916337432414,-7.769144726661598
18,0.4004677997141109,-7.767826587785265
18,0.4024533182310905,-7.766957953409843
18,0.4287358880848459,-7.763216829312866
19,0.40997218708823085,-7.798171565656952
19,0.41203771955078883,-7.802797103165588
19,0.4120506464154003,-7.782854466654285
19,0.40869296611699807,-7.785616682214683
19,0.4288104633278167,-7.773794316327857
19,0.42206939931407544,-7.777870556114038
19,0.400916507403842,-7.800093822281152
19,0.3990117988650795,-7.786091473545739
19,0.3806791330339773,-7.775024680313697
19,0.41256094838888296,-7.789788705930324
