id,Area,Year,Population,Demographic dependency ratio,Proportion of youth (0-14),Proportion of elderly (65+),Proportion of working age (15-64),Proportion of foreign language,Proportion of finnish and sami,Proportion of swedish,Proportion of males,Proportion of females,Proportion of higher education,Proportion of basic education,Proportion of upper secondary education,Proportion of lower tertiary education,Proportion of one person household,Proportion of four or more persons household,Unemployment rate,Proportion of creative class in workforce,Proportion of non creative class in workforce,Income subject to state taxation euro average,Gini coefficient disposable income,Proportion of buildings constructed before 1980 in total housing stock,Proportion of private rental apartments,Proportion of subsidised rental apartments,Population density,Service points for dog areas per 1000 persons,Service points for parks and green areas per 1000 persons,Service points for playgrounds per 1000 persons,Service points for cultural activities per 1000 persons,Service points for circular economy per 1000 persons,Service points for daycare and pre primary education per 1000 persons,Service points for child and family services per 1000 persons,Service points for social welfare services per 1000 persons,latitude,longitude
112852,Herttoniemi,2018,28875,0.4840417330523719,0.1598614718614718,0.1663030303030303,0.6738354978354978,0.1602424242424242,0.799965367965368,0.0397922077922077,0.4695757575757576,0.5304242424242425,0.207033164515602,0.2482029080215651,0.3297663780428034,0.2149975494200294,0.5069029730944583,0.0941372888974507,10.7,0.165830134829249,0.834169865170751,62012.0,33.0,0.5427700400502122,0.2811883555502421,0.2906928088947337,0.003834476250714856,0.17316017316017315,0.17316017316017315,0.658008658008658,1.0389610389610389,0.6926406926406926,2.4588744588744587,0.13852813852813853,0.8311688311688312,60.198767946081695,25.03746456393113
112852,Herttoniemi,2019,29843,0.4821455177551527,0.1600040210434608,0.1652983949334852,0.674697584023054,0.1660020775391214,0.7960325704520324,0.0379653520088462,0.4678819153570351,0.5321180846429648,0.2113493661888401,0.2464557911779805,0.3266990482960155,0.2154957943371638,0.5094632330127211,0.0950667080359913,10.3,0.1698651707509103,0.8301348292490897,61967.0,32.0,0.5116439141906619,0.2858208099116668,0.2958586669725823,0.003963022502167392,0.16754347753241966,0.16754347753241966,0.6366652146231947,1.005260865194518,0.6701739101296786,2.379117380960359,0.13403478202593572,0.8042086921556144,60.198767946081695,25.03746456393113
112852,Herttoniemi,2020,30271,0.484527487617086,0.1586336757953156,0.1677513131379868,0.6736150110666975,0.1664299164216577,0.7968022199464835,0.0367678636318588,0.4683029962670543,0.5316970037329457,0.2205659128945627,0.236834935585568,0.3240960572918693,0.2185030942279998,0.516341847233991,0.0923011741919864,15.5,0.1764824322963857,0.8235175677036142,59889.0,31.0,0.5090673575129534,0.2912255012390178,0.2904933543590899,0.004019859067892274,0.16517458954114497,0.16517458954114497,0.6276634402563509,0.9910475372468699,0.6606983581645799,2.345479171484259,0.13213967163291598,0.792838029797496,60.198767946081695,25.03746456393113
112852,Herttoniemi,2021,30523,0.4855933028326681,0.1562755954526095,0.1705926678242636,0.6731317367231269,0.1718048684598499,0.7915342528585001,0.0366608786816499,0.4694492677652917,0.5305507322347083,0.2274947125552778,0.2331090174966352,0.3195154777927321,0.2198807921553547,0.5224662262691186,0.0899839314408141,11.7,0.1757141454795327,0.8242858545204672,61951.0,33.0,0.4984768762115757,0.296981445582941,0.2774854610911105,0.004053323587898512,0.16381089670084853,0.16381089670084853,0.6224814074632244,0.9828653802050913,0.6552435868033941,2.3261147331520493,0.13104871736067883,0.786292304164073,60.198767946081695,25.03746456393113
112852,Herttoniemi,2022,30500,0.4891123913680305,0.1564262295081967,0.1720327868852459,0.6715409836065573,0.1787213114754098,0.7848524590163934,0.0364262295081967,0.4688196721311475,0.5311803278688525,0.2339401870597744,0.2337477387321504,0.3141911396789962,0.2181209345290789,0.523208008103438,0.0908657570160281,11.5,0.1832810444287015,0.8167189555712985,60574.0,33.0,0.4921009325287986,0.3275370268787712,0.2466264399341744,0.004050269286469371,0.16393442622950818,0.16393442622950818,0.6229508196721312,0.9836065573770492,0.6557377049180327,2.3278688524590163,0.13114754098360656,0.7868852459016393,60.198767946081695,25.03746456393113
112852,Herttoniemi,2023,30915,0.4854410916778781,0.1560731036713569,0.1707261846999838,0.6732007116286592,0.1864143619602135,0.7780688985929161,0.0355167394468704,0.4687692058871098,0.5312307941128902,0.241048399332423,0.2279623729327871,0.3138749810347443,0.2171142467000455,0.524969119463561,0.0911122875124992,12.4,,,,,0.478933275042352,0.3306191595169135,0.2444942346576315,0.004105379507908217,0.16173378618793466,0.16173378618793466,0.6145883875141517,0.970402717127608,0.6469351447517386,2.296619763868672,0.12938702895034773,0.7763221737020863,60.198767946081695,25.03746456393113
114484,Puistola,2018,20384,0.5601990049751244,0.2045722135007849,0.1544839089481946,0.6409438775510204,0.1569858712715855,0.8232437205651492,0.0197704081632653,0.4871958398744113,0.5128041601255887,0.1429699362283631,0.2731248102034619,0.3556635286972365,0.2282417248709383,0.3325453112687155,0.1869863784757401,8.8,0.1064647377938517,0.8935352622061483,69093.0,26.0,0.3641287365899385,0.1569628163732944,0.1760233309030309,0.002695917762340645,0.09811616954474098,0.09811616954474098,0.3924646781789639,0.6377551020408163,0.5396389324960753,1.7660910518053374,0.0,0.09811616954474098,60.27051785875039,25.047393185317294
114484,Puistola,2019,20369,0.5647998770838135,0.2029063773381118,0.1580342677598311,0.639059354902057,0.168540429083411,0.8102999656340517,0.0211596052825371,0.4885365015464676,0.5114634984535323,0.1486043689320388,0.2691747572815534,0.3531553398058252,0.2290655339805825,0.3418851087562744,0.1841606246514222,8.4,0.1160379439664681,0.8839620560335318,70609.0,26.0,0.3568378293927716,0.1631080095823351,0.1699822935110926,0.002693933913908781,0.09818842358485935,0.09818842358485935,0.3927536943394374,0.6382247533015858,0.5400363297167264,1.7673916245274683,0.0,0.09818842358485935,60.27051785875039,25.047393185317294
114484,Puistola,2020,20419,0.5762698780299521,0.2031931044615309,0.1623977667858367,0.6344091287526323,0.1805671188598854,0.7989127773152456,0.0205201038248689,0.4910622459474019,0.5089377540525981,0.1532028361917459,0.2699230349675777,0.3482213199200048,0.2286528089206714,0.3445135495335406,0.1851399378054198,13.6,0.1142727065786478,0.8857272934213521,70318.0,26.0,0.3582214765100671,0.1708263422818792,0.1611786912751678,0.0027005467420149936,0.0979479896175131,0.0979479896175131,0.3917919584700524,0.6366619325138352,0.538713942896322,1.7630638131152359,0.0,0.0979479896175131,60.27051785875039,25.047393185317294
114484,Puistola,2021,20149,0.5849130810980886,0.2038810859099707,0.1651694873194699,0.6309494267705593,0.1879994044369447,0.7926447962678048,0.0193557992952503,0.4912898903171373,0.5087101096828627,0.15920245398773,0.2676073619631902,0.3433742331288343,0.2298159509202454,0.3521739130434783,0.1798216276477146,10.8,0.1196658387897945,0.8803341612102055,71820.0,27.0,0.3550203315608383,0.169638202481493,0.1601501407569596,0.002664837470241447,0.09926050920641223,0.09926050920641223,0.3970420368256489,0.6451933098416794,0.5459328006352673,1.78668916571542,0.0,0.09926050920641223,60.27051785875039,25.047393185317294
